Chen's new columns	Reference	Publication Year	Title	Journal	DOI	GEO Accession Number	hiPSC Line (Healthy Control)	Number of Healthy Control hiPSC-CM Lines	Sex of hiPSC Line	Ancestry of hiPSC Line	hiPSC Matrix Coating	hiPSC Backbone Media	Confluency at Start of Differentiation (%)	hiPSC-CM Backbone Media	hiPSC-CM Media Supplements	Wnt Activator	Time of Wnt Activator (Start Day - End Day)	Wnt Inhibitor	Time of Wnt Inibitor (Start Day - End Day)	Day Insulin is Added (Until End Unless Noted)	Purification Protocol	Time of hiPSC-CM Purification (Start Day - End Day)	Method to Assess Differentiation Purity	Differentiation Purity (%)	hiPSC-CM Maintenance/Maturation Media (if different)	hiPSC-CM Matrix Coating if Replated	Maturation Technique: Metabolic?	Metabolic Components	Maturation Technique: Electrical Stimulation?	Maturation Technique: Passive Tension?	Maturation Technique: Other Cell Types?	Maturation Technique: Mechanical Stimulation?	Maturation Technique: Cell Alignment?	Maturation Technique: Elastomeric Surface?	Maturation Technique: Cell Derived ECM?	2D: Surface	3D: Platform Type	3D: Cell Types	3D: Type of Stromal Cell (SC)	3D: Types of Endothelial Cell (EC) 	3D: Cell Composition (CM-EC-SC)	Tissue Media	3D: Estimated Tissue Cell Density (10^6 cells/mL)	3D:Estimated Tissue size (mm2)	Immunofluorescent Imaging?	SEM or TEM	Sarcomere/Cellular Alignment Analysis?	Sarcomere Length (um)	Cell Area (um2)	T-tubules Present?	Contractile Analyses Method	Force (mN)	Stress (mN/mm2)	Upstroke Velocity (um/s)	Calcium Handling Analyses Method	Amplitude (F/F0)	Beat Rate (beats per minute)	Time to Peak (ms)	Time to Relaxation (ms)	Conduction Velocity (cm/s)	Electrophysiology Analyses Method	AP Conduction Velocity (cm/s)	AP Amplitude (mV)	Resting Membrane Potential (mV)	Max Capture Rate (Hz)	Metabolic Analyses Method	Fatty Acid Metabolism Measured?	Gene Analyses Method	Pharmacological Interventions	Disease
	Arai, K. et al. Fabrication of scaffold-free tubular cardiac constructs using a Bio-3D printer. PLoS One 13, (2018).	2018.0	 Fabrication of scaffold-free tubular cardiac constructs using a Bio-3D printer	 PLoS One 13, (2018)	https://doi.org/10.1371/journal.pone.0209162		iCell	1						iCell Maintenance Medium	iCell Maintenance Medium (CDI)											Gelatin					Yes						Scaffold free, 3D bioprinted to assemble cardiac spheroids	CM + EC + SC	hDF	HUVEC	50, 25, 25	Same proportion as cells: iCell Maintenance Medium (CDI): EBM-2: FBM-2	0.3	10	Yes						Motion tracking analysis																			
	Archer, C. R. et al. Characterization and validation of a human 3D cardiac microtissue for the assessment of changes in cardiac pathology. Sci Rep 8, (2018).	2018.0	 Characterization and validation of a human 3D cardiac microtissue for the assessment of changes in cardiac pathology	 Sci Rep 8, (2018)	https://doi.org/10.1038/s41598-018-28393-y		iCell	1						iCell Maintenance Medium	iCell Maintenance Medium (CDI)						Blasticidin	30-32	Flow cytometry for cTnT+	98		Gelatin										ECM-coated plastic/glass	Scaffold free	CM + EC + SC	hCF	CMVEC	57, 14, 29	50% iCell Maintenance Media (CDI), 50% EBM-2	0.0125	0.035	Yes																								sunitinib, doxorubicin	
	Beauchamp, P. et al. 3D Co-culture of hiPSC-Derived Cardiomyocytes With Cardiac Fibroblasts Improves Tissue-Like Features of Cardiac Spheroids. Front Mol Biosci 7, (2020).	2020.0	 3D Co-culture of hiPSC-Derived Cardiomyocytes With Cardiac Fibroblasts Improves Tissue-Like Features of Cardiac Spheroids	 Front Mol Biosci 7, (2020)	https://doi.org/10.3389/fmolb.2020.00014		iCell2, Cor.4U	2	NaN, NaN	NaN, NaN				iCell Maintenance Medium	iCell Maintenance Medium (CDI)											Fibronectin					Yes						Scaffold free	CM + SC	heCF		80, 0, 20	iCell Maintenance Medium (CDI), phenylphrine, L-ascorbic acid	0.0125	0.0078	Yes	TEM					Motion tracking analysis										Patch clamp		66	-41.0				PCR		
	Beauchamp, P. et al. Development and Characterization of a Scaffold-Free 3D Spheroid Model of Induced Pluripotent Stem Cell-Derived Human Cardiomyocytes. Tissue Eng Part C Methods 21, 852–861 (2015).	2015.0	 Development and Characterization of a Scaffold-Free 3D Spheroid Model of Induced Pluripotent Stem Cell-Derived Human Cardiomyocytes	 Tissue Eng Part C Methods 21, 852–861 (2015)	https://doi.org/10.1089/ten.TEC.2014.0376		iCell	1						iCell Maintenance Medium	iCell Maintenance Medium (CDI)											Gelatin											Scaffold free	CM			100, 0, 0	DMEM, GlutaMax, FCS, IGF-1	0.062	40	Yes						Motion tracking analysis				Dye		20.0												phenylephrine, isoproterenol, blebbistatin, doxorubicin	
	Bekhite, M. M. et al. Longitudinal metabolic profiling of cardiomyocytes derived from human-induced pluripotent stem cells. Basic Res Cardiol 115, (2020).	2020.0	 Longitudinal metabolic profiling of cardiomyocytes derived from human-induced pluripotent stem cells	 Basic Res Cardiol 115, (2020)	https://doi.org/10.1007/s00395-020-0796-0		in-house	1			Matrigel	E8		RPMI-1640	B27	Activin A, BMP4, CHIR99021		BMP4, IWP-2			No glucose with lactate	21-26	Flow cytometry for a-actinin+	80	RPMI-1640, B27, L-ascorbic acid											ECM-coated plastic/glass									Yes	TEM									Dye											Seahorse		PCR	propranolol, epinephrine, atenolol, dobutamine	
	Bhagwan, J. R. et al. Variable expression and silencing of CRISPR-Cas9 targeted transgenes identifies the AAVS1 locus as not an entirely safe harbour. F1000Res 8, 1911 (2019).	2019.0	 Variable expression and silencing of CRISPR-Cas9 targeted transgenes identifies the AAVS1 locus as not an entirely safe harbour	 F1000Res 8, 1911 (2019)	https://doi.org/10.12688/f1000research.19894.2		Not listed	1			Matrigel	E8		StemPro-34	B27	Activin A, BMP4	0-2	KY02111, XAV939	2-4	4			IHC a-actinin	90		Matrigel										ECM-coated plastic/glass									Yes										Genetically encoded sensor													PCR	dantrolene, ranolazine	
	Bhute, V.J. et al. Metabolomics Identifies Metabolic Markers of Maturation in Human Pluripotent Stem Cell-Derived Cardiomyocytes. Theranostics 7, 2078–2091 (2017).	2017.0	 Metabolomics Identifies Metabolic Markers of Maturation in Human Pluripotent Stem Cell-Derived Cardiomyocytes	Theranostics 7, 2078–2091 (2017)	https://doi.org/10.7150/thno.19390		19-9-7	1			Matrigel	mTESR-1	Not listed	RPMI-1640	B27	CHIR99021	0-1	IWP2	3-5	6						Matrigel										ECM-coated plastic/glass									Not for hiPSC-CMs				Not for hiPSC-CMs																	Seahorse	Yes			
	Birket, M. J. et al. A Human Stem Cell Model of Fabry Disease Implicates LIMP-2 Accumulation in Cardiomyocyte Pathology. Stem Cell Reports 13, 380–393 (2019).	2019.0	 A Human Stem Cell Model of Fabry Disease Implicates LIMP-2 Accumulation in Cardiomyocyte Pathology	 Stem Cell Reports 13, 380–393 (2019)	https://doi.org/10.1016/j.stemcr.2019.07.004		in-house (4)	4			Matrigel	mTeSR-1		RPMI-1640	L-ascorbic acid, albumin, bFGF, ITS-X	CHIR99021, BMP4	0-2	Wnt-C59, bFGF	2-4	2	Cell sorting		Flow cytometry for SIRPA+	96	DMEM/F12, BSA, creatine, taurine,L-carnitine, 1-thioglycerol, L-ascorbic acid, Trace Elements A, B, and C, T3, dexamethasone, palmitic acid, FBS	Matrigel	Yes	T3, dexamethasone, palmitic acid								ECM-coated plastic/glass									Yes				1800						Dye						Patch clamp	16.0	100	-70.0					caffeine	Fabry disease
	Blazeski, A. et al. Functional Properties of Engineered Heart Slices Incorporating Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes. Stem Cell Reports 12, 982–995 (2019).	2019.0	 Functional Properties of Engineered Heart Slices Incorporating Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes	 Stem Cell Reports 12, 982–995 (2019)	https://doi.org/10.1016/j.stemcr.2019.04.002		in-house	1			Geltrex	E8	80	RPMI-1640	B27	CHIR99021	0-2	IWR1	3-5	9			Flow cytometry for cTnT+	83											Yes		Decellularized tissue	CM			100, 0, 0	RPMI-1640, B27		95	Yes		Yes				Motion tracking analysis										Optical mapping	19.0						PCR	isoproterenol, BaCl2, E4031, chromanol 293B, nifedipine, bay-k 8644, cromakalim	LQT2
	Bliley, J. M. et al. Dynamic loading of human engineered heart tissue enhances contractile function and drives a desmosome-linked disease phenotype. Sci. Transl. Med 13, 1817 (2021).	2021.0	 Dynamic loading of human engineered heart tissue enhances contractile function and drives a desmosome-linked disease phenotype	 Sci. Transl. Med 13, 1817 (2021)	https://doi.org/10.1126/scitranslmed.abd1817		in-house	1			Geltrex	E8		RPMI-1640	KOSR	CHIR99021, Activin A	0-2	Wnt-C59	2-4		No glucose with lactate	17-21			RPMI-1640, albumin, L-ascorbic acid	Geltrex				Yes	Yes	Yes					Collagen + matrigel	CM + SC	hCF		90, 0, 10	RPMI-1640, KOSR	18.75	12	Yes	TEM	Yes	2.0			Post deflection; Force transducer		0.6	150	Dye					9.0	Patch clamp			-60.0				PCR		ACM
	Blinova, K. et al. Comprehensive translational assessment of human- induced pluripotent stem cell derived cardiomyocytes for evaluating drug-induced arrhythmias. Toxicological Sciences 155, 234–247 (2017).	2017.0	 Comprehensive translational assessment of human- induced pluripotent stem cell derived cardiomyocytes for evaluating drug-induced arrhythmias	 Toxicological Sciences 155, 234–247 (2017)	https://doi.org/10.1093/toxsci/kfw200		iCell, Cor.4U	2	NaN, NaN	NaN, NaN				iCell Maintenance Medium	iCell Maintenance Medium (CDI)											Gelatin										MEA																																PCR	dofetilide, quinidine, moxifloxacin, ranolazine, verapamil, quinine, propafenone, chloroquine, terfenadine, cisapride, amiodarone, azithromycin, ritonavir, amitriptyline, nilotinib, toremifene, lidocaine, mexiletine, mibefradil, diltiazem, licarbazepine, cibenzoline, sertindole	
	Blinova, K. et al. International Multisite Study of Human-Induced Pluripotent Stem Cell-Derived Cardiomyocytes for Drug Proarrhythmic Potential Assessment. Cell Rep 24, 3582–3592 (2018).	2018.0	 International Multisite Study of Human-Induced Pluripotent Stem Cell-Derived Cardiomyocytes for Drug Proarrhythmic Potential Assessment	 Cell Rep 24, 3582–3592 (2018)	https://doi.org/10.1016/j.celrep.2018.08.079		iCell, Cor.4U	3	NaN, NaN	NaN, NaN				iCell Maintenance Medium	iCell Maintenance Medium (CDI)											Gelatin										ECM-coated plastic/glass																									MEA								verapamil, diltiazem, loratadine, metoprolol, mexiletine, nifedipine, nitrendipine, ranolazine, tamoxifen, terfenadine, astemizole, chlorpromazine, cisapride, clarithromycin, clozapine, domperidone, droperidol, ondansetron, pimozide, risperidone, dofetilide, azimilide, bepridil, DL-sotalol, disopyramide, ibutilide, quinidine, vandetanib	
	Block, T. et al. Human perinatal stem cell derived extracellular matrix enables rapid maturation of hiPSC-CM structural and functional phenotypes. Sci Rep 10, (2020).	2020.0	 Human perinatal stem cell derived extracellular matrix enables rapid maturation of hiPSC-CM structural and functional phenotypes	 Sci Rep 10, (2020)	https://doi.org/10.1038/s41598-020-76052-y		iCell	1						iCell Maintenance Medium	iCell Maintenance Medium (CDI)											Human perinatal ECM (MatrixPlus)									Yes	ECM-coated plastic/glass									Yes		Yes														Patch clamp	34.9		-79.0					tamoxifen, nifedipine, nitrendipine, ranolazine, diltiazem, metoprolol, verapamil, domperidone, droperidol, clozapine, terfenadine, astemizole, cisapride, pimozide, risperidone, ondansetron, disopyramide, quinidine, DI sotalol, bepridil, dofetilide, azimilide, ibutilide, vandetanib	
	Borchert, T. et al. Catecholamine-Dependent b-Adrenergic Signaling in a Pluripotent Stem Cell Model of Takotsubo Cardiomyopathy. J Am Coll Cardiol 70, 965-991 (2017).	2017.0	 Catecholamine-Dependent b-Adrenergic Signaling in a Pluripotent Stem Cell Model of Takotsubo Cardiomyopathy	 J Am Coll Cardiol 70, 965-991 (2017)	https://doi.org/10.1016/j.jacc.2017.06.061		in-house	3			Geltrex	E8	90	RPMI-1640	L-ascorbic acid, albumin	CHIR99021	0-2	IWP2	3-5	10	No glucose with lactate	30-33	Flow cytometry for cTnT+	90		Gelatin											Collagen	CM + SC	hFF		70, 0, 30	Iscove-Medium, B27, NEAAs, L-glutamine, L-acsorbic acid, IGF1, FGF-2, VEGF, TGFB	30.0		Yes										Dye	5.0	40.0	250	1000 (time to 50%)											Takosubo syndrome
	Branco, M. A. et al. Transcriptomic analysis of 3D Cardiac Differentiation of Human Induced Pluripotent Stem Cells Reveals Faster Cardiomyocyte Maturation Compared to 2D Culture. Sci Rep 9, (2019).	2019.0	 Transcriptomic analysis of 3D Cardiac Differentiation of Human Induced Pluripotent Stem Cells Reveals Faster Cardiomyocyte Maturation Compared to 2D Culture	 Sci Rep 9, (2019)	https://doi.org/10.1038/s41598-019-45047-9		DF6-9-9T.B, F002.1A.13, Gibco episomal	3	NaN, NaN, NaN	NaN, NaN, NaN	Matrigel	mTeSR-1	92.5	RPMI-1640	B27	CHIR99021	0-1	IWP4	3-5	7			Flow cytometry for cTnT+	90												ECM-coated plastic/glass	Scaffold free	CM			100, 0, 0	RPMI-1640, B27	1.0	0.07	Yes		Yes		1500												Patch clamp					Glucose consumption and Lactate production rate analysis		RNA-seq, PCR		
	Brink, L. van den et al. Cryopreservation of human pluripotent stem cell-derived cardiomyocytes is not detrimental to their molecular and functional properties. Stem Cell Res 43, (2020).	2020.0	 Cryopreservation of human pluripotent stem cell-derived cardiomyocytes is not detrimental to their molecular and functional properties	 Stem Cell Res 43, (2020)	https://doi.org/10.1016/j.scr.2019.101698		LUMC0020iCTRL, LUMC0099iCTRL	2	Female	Caucasian	Matrigel	E8		Pluricyte Cardiomyocyte Differentiation Kit (NCardia)	Pluricyte Cardiomyocyte Differentiation Kit (NCardia) or Bovine Serum Albumin (BSA) Polyvinylalchohol Essential Lipids	CHIR99021	0-2	XAV939, IWP-L6	2-4				Flow cytometry for cTnT+	80	Medium C (NCardia)	Matrigel										ECM-coated plastic/glass									Yes						Motion tracking analysis			time to peak=0.22s							Patch clamp		100	-78.0				PCR		
	Buikema, J. W. et al. Wnt Activation and Reduced Cell-Cell Contact Synergistically Induce Massive Expansion of Functional Human iPSC-Derived Cardiomyocytes. Cell Stem Cell 27, 50-63.e5 (2020).	2020.0	 Wnt Activation and Reduced Cell-Cell Contact Synergistically Induce Massive Expansion of Functional Human iPSC-Derived Cardiomyocytes	 Cell Stem Cell 27, 50-63.e5 (2020)	https://doi.org/10.1016/j.stem.2020.06.001		SCVI-111, SCVI-113, SCVI-273, SCVI-202	4	NaN, NaN, NaN, NaN	NaN, NaN, NaN, NaN	Matrigel	E8	100	RPMI-1640	B27	CHIR99021	0-2	Wnt-C59	3-5	7			Flow cytometry for cTnT+	85		Matrigel				Yes						Micropatterned PAA	Fibrin + matrigel	CM			100, 0, 0	DMEM, horse serum, insulin, aprotinin	10.3	10.2	Yes		Yes				Post deflection	0.25		20		4.0					Patch clamp; optical mapping							RNA-seq		
	Burnett, S. D. et al. Population-based toxicity screening in human induced pluripotent stem cell-derived cardiomyocytes. Toxicol Appl Pharmacol 381, (2019).	2019.0	 Population-based toxicity screening in human induced pluripotent stem cell-derived cardiomyocytes	 Toxicol Appl Pharmacol 381, (2019)	https://doi.org/10.1016/j.taap.2019.114711		iCell, CDI (42)	43	NaN, Female	NaN, Caucasian				iCell Maintenance Medium	iCell Maintenance Medium (CDI)											Gelatin										ECM-coated plastic/glass																			Dye		21.0												minobispropanenirtile, hexanedioic acid, titanocene dichloride, 2-amino-4-chlorophenol, 1-4-benzoquinone, di(2-ethylhexyl)phthalate, 3-4-dichlorophenyl isocyanate, isodecyl diphenyl phosphate, azobenzene, bisophenol A, tris(2-chloroethyl)phosphate, 2-ethylhexyl diphenyl phosphate, 3-3-5-5-tetrabromobisphenol A, tert-butyl phosphates isopropylated, triphenyl phosphate, tris(methylphenyl)phosphate, thiabendazole, aldicarb, captan, endosultan, 8-hydroxyquinoline, aldrin, myclobutanil, dichlorodiphenyltrichloroethane, dieldrin, heptachlor, parathion, chlorpyrifos, carbaryl, 2-phenylphenol, dazomet, acetochlor, deltamethrin, permethrin, tebuconazole, 3-iodo-2-propynyl-n-butylcarbamate, hexachlorophene, gentian violet, rotenone, manganese(2)acetate, (CH3-cyclopentadienyl)tricarbonyl Mn, methylmercuric(2)chloride, hydroxyurea, acetylsalicylic acid, atenolol, acetaminophen, sodium valproate, 6-propyl-2-thiouracil, phenobarbital sodium, thalidomide, rantidine, 6-thioquanine, 5-fluotouracil, citalopram hydrobromide, disulfiram, pyrimethamine, rantidine hydrochloride, colchicine, lidocaine, progesterone, lamotrigine, flutamide, lindane, mexiletine hydrochloride, moxifloxacin hydrochloride, nifedipine, n-acetylprocainamide, triameterene, vernacalant, cabazitaxel, ranolazine, loratadine, propafenone, quinidine sulfate, tamoxifen, bepridil hydrochloride, chlorpromazine hydrochloride, reserpine, ditiazem, diethylstilbestrol, mifepristone, mifepristone2, sotalol hydrochloride, amitriptyline hydrochloride, sotalol, mitrendipine, terfenadine, verapamil hydrochloride, sematilide, azithromycin, ibutilide fumarate, cisapride monohydrate, dofetilide	
	Cao, Y. et al. Nondestructive nanostraw intracellular sampling for longitudinal cell monitoring. Proc Natl Acad Sci U S A 114, E1866–E1874 (2017).	2017.0	 Nondestructive nanostraw intracellular sampling for longitudinal cell monitoring	 Proc Natl Acad Sci U S A 114, E1866–E1874 (2017)	https://doi.org/10.1073/pnas.1615375114		Not listed	1																										Yes		Nanotopography										SEM																						PCR		
	Carson, D. et al. Nanotopography-Induced Structural Anisotropy and Sarcomere Development in Human Cardiomyocytes Derived from Induced Pluripotent Stem Cells. ACS Applied Materials and Interfaces 8, 21923–21932 (2016).	2016.0	 Nanotopography-Induced Structural Anisotropy and Sarcomere Development in Human Cardiomyocytes Derived from Induced Pluripotent Stem Cells	 ACS Applied Materials and Interfaces 8, 21923–21932 (2016)	https://doi.org/10.1021/acsami.5b11671		IMR-90	1	Female		Matrigel	KO-DMEM, KOSR, L-glutamine, NEAAs, bFGF, β-mercaptoethanol	100	RPMI-1640	B27	Activin A, BMP4, CHIR 99021	0-5	XAV939	5-7	7			Flow cytometry for cTnT+	80		PUABP-RGD peptides or fibronectin							Yes			Nanotopography									Yes		Yes	1.8																						
