Maturation Technique: Mechanical Stimulation?	Maturation Technique: Cell Alignment?	Maturation Technique: Elastomeric Surface?	Maturation Technique: Cell Derived ECM?	2D: Surface	3D: Platform Type	3D: Cell Types	3D: Type of Stromal Cell	3D: Types of Endothelial Cell 	3D: Cell Composition (CM-EC-SC)
					Collagen + matrigel	CM + SC	hiPSC-SC		75, 0, 25
				ECM-coated plastic/glass					
	Yes				Scaffold free	CM			100, 0, 0
					Collagen + fibrin	CM			100, 0, 0
				ECM-coated plastic/glass					
	Yes			Electrospun fibers					
				ECM-coated plastic/glass					
				Micropatterned PDMS, Micropatterned PAA	Collagen + fibrin	CM + SC	hMSC		70, 0, 30
	Yes			Electrospun fibers					
				ECM-coated plastic/glass	Scaffold free	CM			100, 0, 0
Yes				ECM-coated plastic/glass					
				ECM-coated plastic/glass					
Flow 	Yes				PEG + ECM	CM + EC + SC	hMSC	HUVEC	33, 33, 33
				ECM-coated plastic/glass					
				ECM-coated plastic/glass	Collagen + matrigel	CM + SC	hFF		70, 0, 30
				ECM-coated plastic/glass					
Yes				ECM-coated plastic/glass	Collagen	CM			100, 0, 0
					3D printing	CM + SC	hMSC		80, 0, 20
					Fibrin	CM + SC	hiPSC-CF		91, 0, 9
				ECM-coated plastic/glass					
	Yes			Electrospun fibers					
				ECM-coated plastic/glass					
				ECM-coated plastic/glass					
				MEA					
Yes		Yes		ECM-coated PDMS					
				ECM-coated plastic/glass					
				ECM-coated plastic/glass					
					Collagen + matrigel	CM + EC + SC	hiPSC-MC	hiPSC-EC	56, 11, 14
					Decellularized tissue	CM			100, 0, 0
				MEA					
				ECM-coated plastic/glass					
Flow					Collagen	CM + EC		hiPSC-EC	83, 17, 0
					Scaffold free	CM			100, 0, 0
				ECM-coated plastic/glass	Scaffold free	CM			
		Yes		Thick matrigel					
					Collagen + fibrin + matrigel	CM + SC	hCF		90, 0, 10
Flow				ECM-coated plastic/glass	PEG + ECM	CM			100, 0, 0
				ECM-coated plastic/glass					
					Scaffold free	CM			100, 0, 0
				ECM-coated plastic/glass					
			Yes		Decellularized tissue	CM			100, 0, 0
				ECM-coated plastic/glass					
Flow 					Fibrin	CM + EC + SC	hiPSC-SMC	hiPSC-EC	50, 25, 25
	Yes		Yes		Decellularized ECM, PEG, 3D printing	CM + EC + SC	hiPSC-SMC	hiPSC-EC	50, 25, 25
	Yes			ECM-coated plastic/glass and Micropatterned polyacrlyamide gels					
Yes				Decellularized ECM					
					Scaffold free	CM + EC + SC	hiPSC-CF	hiPSC-EC	75, 15, 15
					Scaffold free	CM + EC		hiPSC-EC	85, 0, 15
Yes			Yes		Decellularized tissue	CM			100, 0, 0
				ECM-coated plastic/glass					
			Yes		Decellularized ECM, 3D printing	CM + EC		hiPSC-EC	67, 33, 0
					PEG	CM + SC	hCF		75, 0, 25
		Yes		ECM-coated PDMS					
Yes			Yes		Decellularized tissue	CM			100, 0, 0
				Electrospun fibers					
	Yes			MEA					
				ECM-coated plastic/glass					
				ECM-coated plastic/glass					
		Yes		ECM-coated PDMS					
				ECM-coated plastic/glass					
				ECM-coated plastic/glass					
					Scaffold free	CM + EC + SC	hiPSC-SC	hiPSC-EC	
		Yes			Scaffold free	CM			100, 0, 0
					Scaffold free	CM + SC	hCF, hDF, hMSC, hiPSC-CF		75, 0, 25
					Fibrin + matrigel	CM			100, 0, 0
				ECM-coated plastic/glass					
					Scaffold free	CM + SC	hiPSC-SC		50, 0, 50
	Yes			Nanotopography					
				ECM-coated plastic/glass		CM			100, 0, 0
				ECM-coated plastic/glass					
					Scaffold free	CM + SC	hiPSC-SC		70, 0, 30
		Yes			Fibrin	CM			100, 0, 0
Yes					Collagen	CM + SC	hMSC		90, 0, 10
				ECM-coated plastic/glass	Scaffold free	CM			
				ECM-coated plastic/glass					
		Yes		Hydrogel					
					Collagen + matrigel	CM + SC	hFF, hMSC, hCF		75, 0, 25
			Yes		Decellularized tissue	CM			100, 0, 0
				Microgrooves in PDMS					
					Collagen + fibrin	CM			100, 0, 0
				ECM-coated plastic/glass					
					Scaffold free	CM			100, 0, 0
					Scaffold free	CM + EC + SC	hDF	HUVEC	50, 25, 25
				ECM-coated plastic/glass					
					PEG + ECM	CM			100, 0, 0
	Yes			Electrospun fibers					
Flow					Fibrin	CM + EC + SC	hCF	CMVEC	47.6,47.6,4.8
	Yes	Yes		Micropatterned PAA					
					Scaffold free	CM + SC	hCF		95, 0, 5
Flow				Silicon membrane, microfluidic device					
Yes		Yes		ECM-coated PDMS					
	Yes			MEA, Microgrooves					
	Yes			Electrospun fibers					
				ECM-coated plastic/glass					
Yes					Scaffold free	CM			100, 0, 0
	Yes	Yes		Microgrooves	Collagen + matrigel	CM + SC	hFF		91, 0, 9
									
		Yes			PEG + ECM	CM			100, 0, 0
	Yes	Yes		Electrospun fibers					
					Fibrin	CM			100, 0, 0
					Fibrin	CM			100, 0, 0
					Fibrin + matrigel	CM			100, 0, 0
					Fibrin	CM + SC	hMSC		91, 0, 9
				ECM-coated plastic/glass					
	Yes			Electrospun fibers					
				Electrospun fibers					
	Yes			Electrospun fibers					
					Scaffold free	CM			100, 0, 0
	Yes	Yes		Microgrooves, hydrogel					
				ECM-coated plastic/glass					
					Scaffold free	CM			100, 0, 0
Yes					Collagen + Fibrin + matrigel 	CM			100, 0, 0
	Yes				3D filamentous matrices composed of three layers of micronscale parallel fibers	CM			100, 0, 0
	Yes			PEG + ECM	Scaffoldless	CM			100, 0, 0
	Yes				Ventricle scaffolds PCL/gelatin nanofibrous sheets, with human fibronectin	CM			100, 0, 0
					Fibrin	CM			100, 0, 0
					Fibrin + matrigel	CM			100, 0, 0
Yes					Fibrin	CM			100, 0, 0
				ECM-coated plastic/glass	Fibrin	CM + SC	SC		91, 0, 9
Yes					Fibrin	CM			100, 0, 0
	Yes			Nanotopography					
				ECM-coated plastic/glass					
Yes	Yes			ECM-coated plastic/glass					
					Fibrin + matrigel	CM + SC	hCF		75, 0, 25
					Collagen + matrigel	CM + EC + SC	hiPSC-MC	hiPSC-EC	62, 19, 2
Flow					Scaffold free, microfluidic device	CM			100, 0, 0
				ECM-coated plastic/glass					
				ECM-coated plastic/glass	Fibrin	CM			100, 0, 0
				ECM-coated plastic/glass					
					Fibrin	CM + SC	hiPSC-CF		91, 0, 9
Flow	Yes				Fibrin + matrigel	CM + SC	hMSC		98, 0, 2
				ECM-coated plastic/glass					
					Collagen	CM			100, 0, 0
					Scaffold free	CM			100, 0, 0
				ECM-coated plastic/glass					
					Collagen + matrigel	CM + cardiac stem cells (CSCs)			90, 0, 10
	Yes				Collagen + matrigel	CM + EC + SC	hiPSC-MC	hiPSC-EC	45, 18, 15
				ECM-coated plastic/glass					
Yes			Yes		Decellularized tissue	CM + SC	hCF		91, 0, 9
			Yes		Decellularized tissue	CM + EC + SC	hiPSC-CF	hiPSC-EC	85, 12.5, 2.5
Flow				MEA					
Flow				ECM-coated plastic/glass					
	Yes				Scaffold free	CM + EC + SC	hCF	HUVEC	70, 15, 15
			Yes	ECM-coated plastic/glass					
					Collagen, PGA mesh, decellularized porcine ECM	CM + SC	hCF		70, 0, 30
		Yes		Hydrogel		CM			100, 0, 0
			Yes	Decellularized ECM					
		Yes		Micropatterned PDMS, Micropatterned PAA					
	Yes			Micropatterned plastic/glass					
	Yes	Yes		Micropatterned plastic/glass					
				ECM-coated plastic/glass					
					Scaffold free	CM + EC + SC	hCF	CMVEC	67, 16.5, 16.5
					Scaffold free	CM + EC + SC	hiPSC-CF	HCAEC	50, 25, 25
	Yes: Magnetic guided anisotropy				Z-wires with Iron(III) oxide nanoparticles (magnetic)	CM + SC	hiPSC-CF		50, 0, 50
				ECM-coated plastic/glass					
					Fibrin + matrigel	CM + EC + SC	hiPSC-CF	hiPSC-EC	57, 29, 14
					Fibrin	CM			100, 0, 0
	Yes			Electrospun fibers					
				ECM-coated plastic/glass					
					Collagen + fibrin + matrigel	CM + SC	hCF		91, 0, 9
				ECM-coated plastic/glass					
	Yes				Fibrin	CM			100, 0, 0
				ECM-coated plastic/glass					
					Fibrin	CM			100, 0, 0
				ECM-coated plastic/glass					
					Scaffold free	CM + EC + SC	hCF, hADSC	HUVEC	50, 14, 36
					Scaffold free	CM + EC + SC	hCF	HUVEC	50, 10, 40
					Scaffold free				
Flow		Yes		Micropatterned PDMS					
					Fibrin	CM + SC	hDF		75, 0, 25
					Fibrin	CM + SC	hDF		75, 0, 25
			Yes	Decellularized ECM, Electrically conductive hydrogel		CM			100, 0, 0
Yes					Collagen + Geltrex	CM + EC + SC	hiPSC-SMC	hiPSC-EC	58, 9, 15
					Collagen	CM + SC	hCF		95, 0, 5
					Collagen	CM + SC	hCF		95, 0, 5
					Fibrin + matrigel	CM			100, 0, 0
					Fibrin	CM			100, 0, 0
		Biodegradable and biomimetic microparticles		ECM-coated microparticles					
				ECM-coated plastic/glass					
				ECM-coated plastic/glass					
					Fibrin	CM			100, 0, 0
	Yes				Fibrin	CM + EC + SC	hPC	BOEC	65, 29, 6
	Yes	Yes		ECM-coated plastic/glass					
					Scaffold free	CM			100, 0, 0
Yes					Fibrin + matrigel	CM			100, 0, 0
				ECM-coated plastic/glass					
				ECM-coated plastic/glass					
		Yes	Yes		Decellularized tissue	CM + SC	hCF		90, 0, 10
				ECM-coated plastic/glass					
					Scaffold free		Mesendoderm progenitor cels 		
	Yes			MEA					
	Yes	Yes		Micropatterned PAA					
				ECM-coated plastic/glass					
	Yes	Yes		Nanotopography (Shape memory polymers (SMP) Poly(tBA-co-BA) PEM coated with wrinkles)					
				ECM-coated plastic/glass					
	Yes			Microgrooves					
					Fibronectin/gelatin nano films	CM			100, 0, 0
					Fibrin or collagen	CM + SC	hCF;hDF		75, 0, 25
				ECM-coated plastic/glass	Scaffold free	CM			100, 0, 0
					Scaffold free	CM + NRCM			100, 0, 0
	Yes			Electrospun fibers					
					Collagen	CM + SC	hCF		100, 0, 10
	Yes				3D printed silicone macroporous silicone scaffold	CM			100, 0, 0
					Collagen + matrigel	CM + SC	hCF		70, 0, 30
				ECM-coated plastic/glass					
				ECM-coated plastic/glass					
	Yes			Micropatterned PDMS					
				MEA					
			Yes		Decellularized tissue	CM + SC	hMSC		80, 0, 20
					3D printing, cell spheroids coated in fibronectin and gelatin solution	CM + EC + SC	hCF	CMVEC	37.5, 50, 12.5
					Fibrin	CM			100, 0, 0
				ECM-coated plastic/glass	Fibrin + matrigel	CM			100, 0, 0
				ECM-coated plastic/glass					
					Collagen	CM + EC + SC	hMSC	hiPSC-EC	65, 32, 3
Yes					Collagen + elastin 	CM + SC	hFF		90, 0, 10
				ECM-coated plastic/glass					
Yes		Yes			PEG				
	Yes				3D filamentous matrices composed of three layers of micronscale parallel fibers	CM			100, 0, 0
				ECM-coated plastic/glass					
					Decellularized tissue	CM + EC + SC	hiPSC-SC		75, 0, 25
	Yes			Electrospun fibers					
Flow				ECM-coated plastic/glass					
					Fibrin	CM + EC		hiPSC-EC	71, 29, 0
					Fibrin	CM + SC	hPC		86, 0, 14
					Fibrin	CM + EC (+ tumor)	colon adenocarcinoma (SW620)	hiPSC-EC	77, 23, 0
	Yes	Yes		Micropatterned PAA gel 					
					Fibrin + matrigel	CM + SC	hCF		75, 0, 25
				ECM-coated plastic/glass					
				Microgrooves	Collagen + matrigel	CM + SC	hFF		91, 0, 9
				ECM-coated plastic/glass					
				ECM-coated plastic/glass					
	Yes			Micropatterned PDMS					
				ECM-coated plastic/glass					
	Yes				Collagen	CM + EC + SC	hCF	HUVEC	70, 15, 15
				MEA					
				ECM-coated plastic/glass					
				ECM-coated plastic/glass					
					Scaffold free	CM			100, 0, 0
	Yes		Yes		Decellularized tissue	CM			100, 0, 0
				Micropatterned plastic/glass	Fibrin	CM + SC	hMSC		91, 0, 9
Flow					Gelatin	CM			100, 0, 0
				ECM-coated plastic/glass					
	Yes	Yes		ECM-coated plastic/glass	Fibrin + matrigel	CM + SC	hMSC		90, 0, 10
				ECM-coated plastic/glass					
				ECM-coated plastic/glass	Scaffold free	CM			100, 0, 0
Flow	Yes				gelMA+alginate, 3D printing	CM + EC		HUVEC	9, 91, 0
					Collagen + matrigel	CM + SC	hCF		91, 0, 9
					Collagen + fibrin + matrigel	CM + SC	hCF		91, 0, 9
				ECM-coated plastic/glass					
				ECM-coated plastic/glass					
