Reference	Year	Publication Category	hiPSC Line (Healthy Control)	Number of Healthy Control hiPSC-CM Lines	Confluency at Start of Differentiation (%)	WNT Activator	Time of Wnt Activator (Start Day - End Day)	WNT Inhibitor	Time of Wnt Inibitor (Start Day - End Day)	Day Insulin is Added (Until End Unless Noted)	Purification Protocol	Time of hiPSC-CM Purification (Start Day - End Day)	Method to Assess Differentiation Purity	Differentiation Purity (%)	Maturation Technique: Metabolic?	Metabolic components	Maturation Technique: Electrical Stimulation?	Maturation Technique: Passive Tension?	Maturation Technique: Other Cell Types?
Branco, M. A. et al. Transcriptomic analysis of 3D Cardiac Differentiation of Human Induced Pluripotent Stem Cells Reveals Faster Cardiomyocyte Maturation Compared to 2D Culture. Sci Rep 9, (2019).	2019.0	Selected	DF6-9-9T.B, F002.1A.13, Gibco episomal	3	92.5	CHIR99021	0-1	IWP4	3-5	7			Flow cytometry for cTnT+	90					
Brink, L. van den et al. Cryopreservation of human pluripotent stem cell-derived cardiomyocytes is not detrimental to their molecular and functional properties. Stem Cell Res 43, (2020).	2020.0	Selected	LUMC0020iCTRL, LUMC0099iCTRL	2		CHIR99021	0-2	XAV939, IWP-L6	2-4				Flow cytometry for cTnT+	80					
Buikema, J. W. et al. Wnt Activation and Reduced Cell-Cell Contact Synergistically Induce Massive Expansion of Functional Human iPSC-Derived Cardiomyocytes. Cell Stem Cell 27, 50-63.e5 (2020).	2020.0	Top 100	SCVI-111, SCVI-113, SCVI-273, SCVI-202	4	100	CHIR99021	0-2	Wnt-C59	3-5	7			Flow cytometry for cTnT+	85				Yes	
Burnett, S. D. et al. Population-based toxicity screening in human induced pluripotent stem cell-derived cardiomyocytes. Toxicol Appl Pharmacol 381, (2019).	2019.0	Selected	iCell, CDI (42)	43															
Cao, Y. et al. Nondestructive nanostraw intracellular sampling for longitudinal cell monitoring. Proc Natl Acad Sci U S A 114, E1866E1874 (2017).	2017.0	Top 100	Not listed	1															
Carson, D. et al. Nanotopography-Induced Structural Anisotropy and Sarcomere Development in Human Cardiomyocytes Derived from Induced Pluripotent Stem Cells. ACS Applied Materials and Interfaces 8, 2192321932 (2016).	2016.0	Top 100	IMR-90	1	100	Activin A, BMP4, CHIR 99021	0-5	XAV939	5-7	7			Flow cytometry for cTnT+	80					
Cashman, T. J., Josowitz, R., Johnson, B. V., Gelb, B. D. & Costa, K. D. Human engineered cardiac tissues created using induced pluripotent stem cells reveal functional characteristics of BRAF-mediated hypertrophic cardiomyopathy. PLoS One 11, (2016).	2016.0	Top 100	in-house	1	EB	Activin A, BMP4	0-1 (BMP4), 2-4 (both)	IWR1	4-8		Cell sorting							Yes	Yes
Chelko, S. P. et al. Therapeutic Modulation of the Immune Response in Arrhythmogenic Cardiomyopathy. Circulation 140, 14911505 (2019).	2019.0	Top 100	in-house	2	80	CHIR99021	0-2	IWR1	3-5	9, not 15-19	No glucose with lactate	15-19							
Chen, P. et al. Bioacoustic-enabled patterning of human iPSC-derived cardiomyocytes into 3D cardiac tissue. Biomaterials 131, 4757 (2017).	2017.0	Top 100	in-house	1	85	CHIR99021	0-2	Wnt-C59	2-4		No glucose with lactate	8-12	IHC a-actinin	98					
Chen, T. & Vunjak-Novakovic, G. Human Tissue-Engineered Model of Myocardial Ischemia-Reperfusion Injury. Tissue Eng Part A 25, 711724 (2019).	2019.0	Selected	WTC11	1	92.5	CHIR99021	0-2	Wnt-C59	2-4	12								Yes	
Chen, V. C. et al. Development of a scalable suspension culture for cardiac differentiation from human pluripotent stem cells. Stem Cell Res 15, 365375 (2015).	2015.0	Selected	in-house	1	EB	CHIR99021	0-1	IWP4	2-4	4			Flow cytometry for cTnT+	96					
Chen, Y., Chan, J. P. Y., Wu, J., Li, R. K. & Santerre, J. P. Compatibility and function of human induced pluripotent stem cell derived cardiomyocytes on an electrospun nanofibrous scaffold, generated from an ionomeric polyurethane composite. J Biomed Mater Res A 110, 19321943 (2022).	2022.0	Randomized	iCell2	1															
Cheng, J. et al. An East Asian Common Variant Vinculin P.Asp841His Was Associated With Sudden Unexplained Nocturnal Death Syndrome in the Chinese Han Population. J Am Heart Assoc 6, (2017).	2017.0	Randomized	iCell	1															
Chopra, A. et al. Force Generation via ?-Cardiac Myosin, Titin, and ?-Actinin Drives Cardiac Sarcomere Assembly from Cell-Matrix Adhesions. Dev Cell 44, 87-96.e5 (2018).	2018.0	Top 100	PGP1	1		CHIR99021	0-1	IWP4	3-5	7	No glucose and lactate	9-11	Flow cytometry for cTnT+	90					
Chun, Y. W. et al. Combinatorial polymer matrices enhance in vitro maturation of human induced pluripotent stem cell-derived cardiomyocytes. Biomaterials 67, 5264 (2015).	2015.0	Top 100	CC2	1		Activin A, BMP4, bFGF	0-5			5			Flow cytometry for cTnT+	95					
Correia, C. et al. 3D aggregate culture improves metabolic maturation of human pluripotent stem cell derived cardiomyocytes. Biotechnol Bioeng 115, 630644 (2018).	2018.0	Top 100	DF19-9-11T.H, UKKi006-A	2	85	CHIR99021	0-1	IWR1	1-3	7			Flow cytometry for cTnT+	80					
Cortes, D. et al. BEaTS-? an open access 3D printed device for in vitro electromechanical stimulation of human induced pluripotent stem cells. Sci Rep 10, (2020).	2020.0	Randomized	in-house	1	85	CHIR99021	0-2	Wnt-C59	2-4		No glucose	10-14					Yes		
Crombie, D. E. et al. Friedreichs ataxia induced pluripotent stem cell-derived cardio-myocytes display electrophysiological abnormalities and calcium handling deficiency. Aging 9 1440-1449 (2017).	2017.0	Randomized	in-house	1		CHIR99021	0-2	KY02111, XAV939	3-8				IHC: cTnT, cTnI, NKX2-5						
Cui, H. et al. 4D physiologically adaptable cardiac patch: A 4-month in vivo study for the treatment of myocardial infarction. Sci Adv 26,  (2020).	2020.0	Selected	in-house	1	85	CHIR99021	0-1	IWP2	2-5	7									Yes
Cui, N. et al. Doxorubicin-induced cardiotoxicity is maturation dependent due to the shift from topoisomerase II? to II? in human stem cell derived cardiomyocytes. J Cell Mol Med 23, 46274639 (2019).	2019.0	Randomized	Cellapy	1	85	CHIR99021	0-2	Wnt-C59	2-4		No glucose	10-15	Flow cytometry for cTnT+	95					
Cyganek, L. et al. Deep phenotyping of human induced pluripotent stem cell-derived atrial and ventricular cardiomyocytes. JCI Insight 3, (2018).	2018.0	Top 100	UMGi001-A, UMGi005-A, UMGi014-A	3	85	CHIR99021	0-2	IWP2	2-4	8, not 15-20	No glucose with lactate	15-20	Flow cytometry for cTnT+	90			Yes	Yes	Yes
Czirok, A. et al. Optical-flow based non-invasive analysis of cardiomyocyte contractility. Sci Rep 7, (2017).	2017.0	Randomized	in-house	1	85	BIO, bFGF	0-2	Wnt-C59	2-7				Flow cytometry for cTnT+; Flow cytometry for NKX2-5+	85					
Dai, Y. et al. Troponin destabilization impairs sarcomere-cytoskeleton interactions in iPSC-derived cardiomyocytes from dilated cardiomyopathy patients. Sci Rep 10, (2020).	2020.0	Randomized	in-house	3	85	CHIR99021	0-2	IWP2	2-4	7			Flow cytometry for cTnT+	90				Yes	
Daly, A. C., Davidson, M. D. & Burdick, J. A. 3D bioprinting of high cell-density heterogeneous tissue models through spheroid fusion within self-healing hydrogels. Nat Commun 12, (2021).	2021.0	Top 100	iCellA, iCellB	2										97					Yes
de Lange, W. J. et al. Human iPSC-engineered cardiac tissue platform faithfully models important cardiac physiology. Am J Physiol Heart Circ Physiol 320, H1670H1686 (2021).	2021.0	Selected	DF19-9-11T.H	1	100	CHIR99021	0-1	IWP4	3-5	7	No glucose with lactate	17-24	Visual Inspection	95				Yes	Yes
De Leeuw, V. C. et al. Going Back and Forth: Episomal Vector Reprogramming of Peripheral Blood Mononuclear Cells to Induced Pluripotent Stem Cells and Subsequent Differentiation into Cardiomyocytes and Neuron-Astrocyte Co-cultures. Cell Reprogram 22, 300310 (2020).	2020.0	Randomized	in-house	1		StemCell Differentiation kit	0-4		6-8	8									
Depalma, S. J., Davidson, C. D., Stis, A. E., Helms, A. S. & Baker, B. M. Microenvironmental determinants of organized iPSC-cardiomyocyte tissues on synthetic fibrous matrices. Biomater Sci 9, 93107 (2021).	2021.0	Selected	PGP1	1		CHIR99021	0-1	IWP4	3-5	9, not 11-15	No glucose with lactate	11-15							
Dias, T. P. et al. Biophysical study of human induced Pluripotent Stem Cell-Derived cardiomyocyte structural maturation during long-term culture. Biochem Biophys Res Commun 499, 611617 (2018).	2018.0	Randomized	DF6-9-9T.B	1	95	CHIR99021	0-1	IWP4	3-5	7									
Diez-Cuñado, M. et al. miRNAs that Induce Human Cardiomyocyte Proliferation Converge on the Hippo Pathway. Cell Rep 23, 21682174 (2018).	2018.0	Top 100	iCell	1															
Dipalo, M. et al. Plasmonic meta-electrodes allow intracellular recordings at network level on high-density CMOS-multi-electrode arrays. Nat Nanotechnol 13, 965971 (2018).	2018.0	Top 100	Cor.4U	1															
Dou, W. et al. A microdevice platform for characterizing the effect of mechanical strain magnitudes on the maturation of iPSC-Cardiomyocytes. Biosens Bioelectron 175, (2021).	2021.0	Selected	iCell2	1															
Dou, W. et al. Label-free conduction velocity mapping and gap junction assessment of functional iPSC-Cardiomyocyte monolayers. Biosens Bioelectron 167, (2020).	2020.0	Randomized	iCell2	1															
Du, D. T. M., Hellen, N., Kane, C. & Terracciano, C. M. N. Action potential morphology of human induced pluripotent stem cell-derived cardiomyocytes does not predict cardiac chamber specificity and is dependent on cell density. Biophys J 108, 14 (2015).	2015.0	Top 100	iCell	1															
Dwenger, M. et al. Chronic optical pacing conditioning of h-iPSC engineered cardiac tissues. J Tissue Eng 10, (2019).	2019.0	Selected	201B6	1		Activin A, Wnt3a	0-1	BMP4, bFGF	1-5								Optical pacing	Yes	Yes
Edri, R. et al. Personalized Hydrogels for Engineering Diverse Fully Autologous Tissue Implants. Advanced Materials 31, (2019).	2019.0	Top 100	in-house	1	100	CHIR99021	0-1	IWP2	4-5	8			Flow cytometry for cTnT+; Flow cytometry for NKX2-5	70					
Edwards, S. L. et al. A Multiwell Cardiac ?GMEA Platform for Action Potential Recordings from Human iPSC-Derived Cardiomyocyte Constructs. Stem Cell Reports 11, 522536 (2018).	2018.0	Randomized	ATCC	1		CHIR99021	0-2	IWR1	3-5				Flow cytometry for cTnT+	90					
El?Battrawy, I. et al. Deciphering the pathogenic role of a variant with uncertain significance for short QT and Brugada syndromes using gene?edited human?induced pluripotent stem cell?derived cardiomyocytes and preclinical drug screening. Clin Transl Med 11, (2021).	2021.0	Randomized	ipWT1.3/UMGi014-B.3, LHpb-YaabC3, in-house	3		Yes, Not listed					Metabolic (not specified		Flow cytometry for cTnT+	85					
Ellis, B. W. et al. Human Heart Anoxia and Reperfusion Tissue (HEART) Model for the Rapid Study of Exosome Bound miRNA Expression As Biomarkers for Myocardial Infarction. Small 18, (2022).	2022.0	Randomized	HVRDi007-A	1	95	CHIR99021	0-1	IWP4	4-6	9									Yes
Eng, G. et al. Autonomous beating rate adaptation in human stem cell-derived cardiomyocytes. Nat Commun 7, (2016).	2015.0	Selected	C2A	1	EB	Activin A, BMP4, bFGF	0-3	XAV939	3-7				Flow cytometry for cTnT+	55			Yes		
Ergir, E. et al. Generation and maturation of human iPSC-derived 3D organotypic cardiac microtissues in long-term culture. Sci Rep 12, (2022).	2022.0	Selected	DF19-9-7T, WTC11	2	100	CHIR99021, BMP4	0-1	IWP2	2-4	7			Flow cytometry for cTnT+	82					
Feaster, T. K., Casciola, M., Narkar, A. & Blinova, K. Acute effects of cardiac contractility modulation on human induced pluripotent stem cellderived cardiomyocytes. Physiol Rep 9, (2021).	2021.0	Selected	iCell	1													Calcium concentration		
Feric, N. T. et al. Engineered Cardiac Tissues Generated in the Biowire II: A Platform for Human-Based Drug Discovery. Toxicological Sciences 172, 8997 (2019).	2019.0	Selected	iCell	1															
Finklea, F. B. et al. Engineered cardiac tissue microsphere production through direct differentiation of hydrogel-encapsulated human pluripotent stem cells. Biomaterials 274, (2021).	2021.0	Randomized	IMR-90, DF19-9-11T.H, SCV-I55, UA16F2	4		CHIR99021	0-1	IWP2	3-5	7			Flow cytometry for cTnT+; Flow cytometry for MF20	70					
Fischer, B. et al. A complete workflow for the differentiation and the dissociation of hiPSC-derived cardiospheres. Stem Cell Res 32, 6572 (2018).	2018.0	Randomized	UKBi005-A, IBMT1	2	EB	CHIR99021, BMP4	0-1	IWP2	2-3				IHC a-actinin	95					
Fleischer, S., Jahnke, H. G., Fritsche, E., Girard, M. & Robitzki, A. A. Comprehensive human stem cell differentiation in a 2D and 3D mode to cardiomyocytes for long-term cultivation and multiparametric monitoring on a multimodal microelectrode array setup. Biosens Bioelectron 126, 624631 (2019).	2019.0	Randomized	IMR-90	1	87.5	CHIR98014	0-1	IWP4	3-5				Flow cytometry for cTnT+	90					
Floy, M. E. et al. Direct coculture of human pluripotent stem cell-derived cardiac progenitor cells with epicardial cells induces cardiomyocyte proliferation and reduces sarcomere organization. J Mol Cell Cardiol 162, 144157 (2022).	2022.0	Randomized	WTC11, WTC11, DF19-9-11T.H	3	85	CHIR99021	0-1	IWP2	3-5				Flow cytometry for cTnT+	85					Yes
Fong, A. H. et al. Three-Dimensional Adult Cardiac Extracellular Matrix Promotes Maturation of Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes. Tissue Eng Part A 22, 10161025 (2016).	2016.0	Top 100	WTC11	1	82.5	CHIR99021	0-1	IWP2	3-5	7			Flow cytometry for cTnT+	85					
Fukushima, H. et al. Specific induction and long-term maintenance of high purity ventricular cardiomyocytes from human induced pluripotent stem cells. PLoS One 15, (2020).	2020.0	Selected	836B3, 253G1,1201C1	3	100	Activin A, BMP4, bFGF	0-5	XAV939, IWP4	5-9	7	Cell sorting		Flow cytometry for cTnT+	97					
Gao, L. et al. Myocardial Tissue Engineering with Cells Derived from Human-Induced Pluripotent Stem Cells and a Native-Like, High-Resolution, 3-Dimensionally Printed Scaffold. Circ Res 120, 13181325 (2017).	2017.0	Top 100	in-house	1		CHIR99021	0-2	Unclear	3-5		No glucose with lactate	8-14	Flow cytometry for cTnT+	96				Yes	Yes
Gao, L. et al. Myocardial Tissue Engineering with Cells Derived from Human-Induced Pluripotent Stem Cells and a Native-Like, High-Resolution, 3-Dimensionally Printed Scaffold. Circ Res 120, 13181325 (2017).	2017.0	Top 100	in-house	1		CHIR99021	0-1	Not listed	3-5	7, not 20-30	No glucose and lactate	20-30	IHC cTnI, cTnT, a-actinin, cx43, MLC-2v	95					Yes
Garay, B. I. et al. Dual inhibition of MAPK and PI3K/AKT pathways enhances maturation of human iPSC-derived cardiomyocytes. Stem Cell Reports 17, 20052022 (2022).	2022.0	Selected	PLZ, MYL2-mEGFP, 19004	3	77.5	CHIR99021	0-2	IWP2	2-4	6	No glucose with lactate	16-20	Flow cytometry for cTnT+	99					
Garreta, E. et al. Myocardial commitment from human pluripotent stem cells: Rapid production of human heart grafts. Biomaterials 98, 6478 (2016).	2016.0	Top 100	ESi048-A	1		CHIR99021	0-1	IWP4	3-5	5									
Giacomelli, E. et al. Human-iPSC-Derived Cardiac Stromal Cells Enhance Maturation in 3D Cardiac Microtissues and Reveal Non-cardiomyocyte Contributions to Heart Disease. Cell Stem Cell 26, 862-879.e11 (2020).	2020.0	Top 100	LUMCi004-A, LUMCi026-A, LUMCi028-A, NCRM-1	4		Activin A, BMP4, CHIR99021	0-3	XAV939	3-6				Flow cytometry for cTnT+	80					Yes
Giacomelli, E. et al. Three-dimensional cardiac microtissues composed of cardiomyocytes and endothelial cells co-differentiated from human pluripotent stem cells. Development (Cambridge) 144, 10081017 (2017).	2017.0	Top 100	in-house	1		Activin A, BMP4, CHIR99021	0-3	XAV939	3-6		Cell sorting	14	Flow cytometry for VCAM1	79					Yes
Goldfracht, I. et al. Engineered heart tissue models from hiPSC-derived cardiomyocytes and cardiac ECM for disease modeling and drug testing applications. Acta Biomater 92, 145159 (2019).	2019.0	Top 100	in-house	1	85	CHIR99021	0-1	Wnt-C59	2-4				Flow cytometry for cTnT+	85					
Goversen, B. et al. A hybrid model for safety pharmacology on an automated patch clamp platform: Using dynamic clamp to join iPSC-derived cardiomyocytes and simulations of Ik1 ion channels in real-time. Front Physiol 8, (2018).	2018.0	Randomized	Cor.4U	1															
Guan, G. et al. Engineering hiPSC-CM and hiPSC-EC laden 3D nanofibrous splenic hydrogel for improving cardiac function through revascularization and remuscularization in infarcted heart. Bioact Mater 6, 44154429 (2021).	2021.0	Selected	ATCC	1		CHIR99021	0-2	Wnt-C59	2-4				Flow cytometry for CD31+	85					
Guerzoni, L. P. B. et al. A Layer-by-Layer Single-Cell Coating Technique to Produce Injectable Beating Mini Heart Tissues via Microfluidics. Biomacromolecules 20, 37463754 (2019).	2019.0	Randomized	in-house	1		Activin A, BMP4, bFGF	0-4						Flow cytometry for cTnT+						
Guo, J. et al. Elastomer-grafted iPSC-derived micro heart muscles to investigate effects of mechanical loading on physiology. ACS Biomater Sci Eng 7, 29732989 (2021).	2021.0	Selected	WTC11	1		CHIR99021	0-2	IWP2	2-4	6, not 20-24	No glucose with lactate	20-24	Flow cytometry for cTnT+	86					
Guyette, J. P. et al. Bioengineering Human Myocardium on Native Extracellular Matrix. Circ Res 118, 5672 (2016).	2016.0	Top 100	BJ-RiPS-1.1	1		CHIR99021	0-2	IWP4	2-5	6			Flow cytometry for cTnT+; For cytometry for a-actinin	85					
Han, J., Wu, Q., Xia, Y., Wagner, M. B. & Xu, C. Cell alignment induced by anisotropic electrospun fibrous scaffolds alone has limited effect on cardiomyocyte maturation. Stem Cell Res 16, 740750 (2016).	2016.0	Top 100	IMR-90	1	85	CHIR99021	0-2	Wnt-C59	3-5	5			Flow cytometry for cTnT+						
Hart, C. et al. Rapid nanofabrication of nanostructured interdigitated electrodes (NIDES) for long-term in vitro analysis of human induced pluripotent stem cell differentiated cardiomyocytes. Biosensors (Basel) 8, (2018).	2018.0	Randomized	iCell2	1															
Hatani, T. et al. Nano-structural analysis of engrafted human induced pluripotent stem cell-derived cardiomyocytes in mouse hearts using a genetic-probe APEX2. Biochem Biophys Res Commun 505, 12511256 (2018).	2018.0	Randomized	201B7	1		BMP4	0-1	IWP3	4-8										
Hellen, N. et al. Proteomic analysis reveals temporal changes in protein expression in human induced pluripotent stem cell-derived cardiomyocytes in vitro. Stem Cells Dev 28, 565578 (2019).	2019.0	Randomized	iCell	1															
Herron, T. J. et al. Extracellular matrix-mediated maturation of human pluripotent stem cell-derived cardiac monolayer structure and electrophysiological function. Circ Arrhythm Electrophysiol 9, (2016).	2016.0	Top 100	iCell	1															
Hildebrandt, M. R. et al. Precision Health Resource of Control iPSC Lines for Versatile Multilineage Differentiation. Stem Cell Reports 13, 11261141 (2019).	2019.0	Randomized	in-house (3)	3	85	StemCell Differentiation kit	0-4		6-8	8			Flow cytometry for cTnT+	80					
Hoang, P., Jacquir, S., Lemus, S. & Ma, Z. Quantification of Contractile Dynamic Complexities Exhibited by Human Stem Cell-Derived Cardiomyocytes Using Nonlinear Dimensional Analysis. Sci Rep 9, (2019).	2019.0	Randomized	in-house	1		CHIR99021	0-1	IWP2 or IWP4	2-5	7	No glucose with lactate	12-14							
Hofbauer, P. et al. Cardioids reveal self-organizing principles of human cardiogenesis. Cell 184, 3299-3317.e22 (2021).	2021.0	Selected	WTC11, IMBAi001-A, IMBAi002-A, 178/5	4	EB	Activin A, BMP4, CHIR99021, bFGF	0-2	BMP4, bFGF, IWP2	2-6	7			Flow cytometry for cTnI+	90					Yes
Homma, J., Shimizu, S., Sekine, H., Matsuura, K. & Shimizu, T. A novel method to align cells in a cardiac tissue-like construct fabricated by cell sheet-based tissue engineering. J Tissue Eng Regen Med 14, 944954 (2020).	2020.0	Selected	201B7	1	EB	Activin A, BMP4, bFGF	0-3	IWR1	3-5		aMHC-Puromycin resistance selection		Flow cytometry for cTnT+	99					
Hookway, T. A. et al. Phenotypic Variation between Stromal Cells Differentially Impacts Engineered Cardiac Tissue Function. Tissue Eng Part A 25, 773785 (2019).	2019.0	Randomized	WTC11	1	100	CHIR99021	0-1	IWP2	3-5	7, not 20-24	No glucose with lactate	20-24	Flow cytometry for cTnT+	85					Yes
Horváth, A. et al. Low Resting Membrane Potential and Low Inward Rectifier Potassium Currents Are Not Inherent Features of hiPSC-Derived Cardiomyocytes. Stem Cell Reports 10, 822833 (2018).	2018.0	Top 100	C25	1	EB	Activin A, BMP4, bFGF	0-3	DS07	3-7	3								Yes	
Huebsch, N. et al. Automated video-based analysis of contractility and calcium flux in human-induced pluripotent stem cell-derived cardiomyocytes cultured over different spatial scales. Tissue Eng Part C Methods 21, 467479 (2015).	2015.0	Top 100	WTC11	1		CHIR99021	0-1	IWP2	3-5	7			Flow cytometry for cTnT+	70					
Huebsch, N. et al. Miniaturized iPS-Cell-Derived Cardiac Muscles for Physiologically Relevant Drug Response Analyses. Sci Rep 6, (2016).	2016.0	Top 100	WTC11	1		CHIR99021	0-1	IWP2	3-5	7, not 20-24	No glucose with lactate	20-24	Flow cytometry for cTnT+	91				Yes	Yes
Huethorst, E. et al. Customizable, engineered substrates for rapid screening of cellular cues. Biofabrication 12, (2020).	2020.0	Randomized	Pluricyte	1															
Hwang, G. H. et al. Purification of small molecule-induced cardiomyocytes from human induced pluripotent stem cells using a reporter system. J Cell Physiol 232, 33843395 (2017).	2017.0	Randomized	ATCC	1		CHIR99021	0-1	XAV939, IWP2	3-5	7			Flow cytometry for cTnT+	98					
Hwang, H. S. et al. Comparable calcium handling of human iPSC-derived cardiomyocytes generated by multiple laboratories. J Mol Cell Cardiol 85, 7988 (2015).	2015.0	Top 100	13FLVN0C1, CC2, DF19-9-11T.H	3	80	CHIR99021	0-1	IWP1	3-5	7			Flow cytometry for cTnT+	88					
Iseoka, H. et al. Pivotal Role of Non-cardiomyocytes in Electromechanical and Therapeutic Potential of Induced Pluripotent Stem Cell-Derived Engineered Cardiac Tissue. Tissue Eng Part A 24, 287300 (2018).	2018.0	Selected	253G1	1	EB	Activin A, BMP4, bFGF	0-4	IWR1	4-6				Flow cytometry for cTnT+	92					Yes
Jabbour, R. J. et al. In vivo grafting of large engineered heart tissue patches for cardiac repair. (2021).	2021.0	Selected	IMR-90	1	85	CHIR99021	0-2	Wnt-C59	3-4	8	No glucose	11-15	Flow cytometry for cTnT+	97					
Jayne, R. K. et al. Direct laser writing for cardiac tissue engineering: A microfluidic heart on a chip with integrated transducers. Lab Chip 21, 17241737 (2021).	2021.0	Selected	PGP1	1		CHIR99021	0-1	IWP4	3-5	7, not 9-13	No glucose with lactate	9-13							
