Reference	Year	Publication Category	hiPSC Line (Healthy Control)	Number of Healthy Control hiPSC-CM Lines	Confluency at Start of Differentiation (%)	WNT Activator	Time of Wnt Activator (Start Day - End Day)	WNT Inhibitor	Time of Wnt Inibitor (Start Day - End Day)	Day Insulin is Added (Until End Unless Noted)	Purification Protocol	Time of hiPSC-CM Purification (Start Day - End Day)	Method to Assess Differentiation Purity	Differentiation Purity (%)	Maturation Technique: Metabolic?	Metabolic components	Maturation Technique: Electrical Stimulation?	Maturation Technique: Passive Tension?	Maturation Technique: Other Cell Types?	Maturation Technique: Mechanical Stimulation?	Maturation Technique: Cell Alignment?	Maturation Technique: Elastomeric Surface?	Maturation Technique: Cell Derived ECM?	2D: Surface	3D: Platform Type	3D: Cell Types
Archer, C. R. et al. Characterization and validation of a human 3D cardiac microtissue for the assessment of changes in cardiac pathology. Sci Rep 8, (2018).	2018.0	Top 100	iCell	1							Blasticidin	30-32	Flow cytometry for cTnT+	98										ECM-coated plastic/glass	Scaffold free	CM + EC + SC
Beauchamp, P. et al. 3D Co-culture of hiPSC-Derived Cardiomyocytes With Cardiac Fibroblasts Improves Tissue-Like Features of Cardiac Spheroids. Front Mol Biosci 7, (2020).	2020.0	Top 100 	iCell2, Cor.4U	2															Yes						Scaffold free	CM + SC
Beauchamp, P. et al. Development and Characterization of a Scaffold-Free 3D Spheroid Model of Induced Pluripotent Stem Cell-Derived Human Cardiomyocytes. Tissue Eng Part C Methods 21, 852Â861 (2015).	2015.0	Top 100	iCell	1																					Scaffold free	CM
Bekhite, M. M. et al. Longitudinal metabolic profiling of cardiomyocytes derived from human-induced pluripotent stem cells. Basic Res Cardiol 115, (2020).	2020.0	Randomized	in-house	1		Activin A, BMP4, CHIR99021		BMP4, IWP-2			No glucose with lactate	21-26	Flow cytometry for a-actinin+	80										ECM-coated plastic/glass		
Bhagwan, J. R. et al. Variable expression and silencing of CRISPR-Cas9 targeted transgenes identifies the AAVS1 locus as not an entirely safe harbour. F1000Res 8, 1911 (2019).	2019.0	Randomized	Not listed	1		Activin A, BMP4	0-2	KY02111, XAV939	2-4	4			IHC a-actinin	90										ECM-coated plastic/glass		
Blazeski, A. et al. Functional Properties of Engineered Heart Slices Incorporating Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes. Stem Cell Reports 12, 982Â995 (2019).	2019.0	Randomized	in-house	1	80	CHIR99021	0-2	IWR1	3-5	9			Flow cytometry for cTnT+	83									Yes		Decellularized tissue	CM
Bliley, J. M. et al. Dynamic loading of human engineered heart tissue enhances contractile function and drives a desmosome-linked disease phenotype. Sci. Transl. Med 13, 1817 (2021).	2021.0	Selected	in-house	1		CHIR99021, Activin A	0-2	Wnt-C59	2-4		No glucose with lactate	17-21						Yes	Yes	Yes					Collagen + matrigel	CM + SC
Blinova, K. et al. Comprehensive translational assessment of human- induced pluripotent stem cell derived cardiomyocytes for evaluating drug-induced arrhythmias. Toxicological Sciences 155, 234Â247 (2017).	2017.0	Top 100	iCell, Cor.4U	2																				MEA		
Blinova, K. et al. International Multisite Study of Human-Induced Pluripotent Stem Cell-Derived Cardiomyocytes for Drug Proarrhythmic Potential Assessment. Cell Rep 24, 3582Â3592 (2018).	2018.0	Top 100	iCell, Cor.4U	3																				ECM-coated plastic/glass		
Block, T. et al. Human perinatal stem cell derived extracellular matrix enables rapid maturation of hiPSC-CM structural and functional phenotypes. Sci Rep 10, (2020).	2020.0	Selected	iCell	1																			Yes	ECM-coated plastic/glass		
Bobis-Wozowicz, S. et al. Human Induced Pluripotent Stem Cell-Derived Microvesicles Transmit RNAs and Proteins to Recipient Mature Heart Cells Modulating Cell Fate and Behavior. Stem Cells 33, 2748Â2761 (2015).	2015.0	Top 100	in-house	1		5-azacytydine	0-1																	ECM-coated plastic/glass		
Borchert, T. et al. Catecholamine-Dependent b-Adrenergic Signaling in a Pluripotent Stem Cell Model of Takotsubo Cardiomyopathy. J Am Coll Cardiol 70, 965-991 (2017).	2017.0	Top 100	in-house	3	90	CHIR99021	0-2	IWP2	3-5	10	No glucose with lactate	30-33	Flow cytometry for cTnT+	90											Collagen	CM + SC
Branco, M. A. et al. Transcriptomic analysis of 3D Cardiac Differentiation of Human Induced Pluripotent Stem Cells Reveals Faster Cardiomyocyte Maturation Compared to 2D Culture. Sci Rep 9, (2019).	2019.0	Selected	DF6-9-9T.B, F002.1A.13, Gibco episomal	3	92.5	CHIR99021	0-1	IWP4	3-5	7			Flow cytometry for cTnT+	90										ECM-coated plastic/glass	Scaffold free	CM
Brink, L. van den et al. Cryopreservation of human pluripotent stem cell-derived cardiomyocytes is not detrimental to their molecular and functional properties. Stem Cell Res 43, (2020).	2020.0	Selected	LUMC0020iCTRL, LUMC0099iCTRL	2		CHIR99021	0-2	XAV939, IWP-L6	2-4				Flow cytometry for cTnT+	80										ECM-coated plastic/glass		
Buikema, J. W. et al. Wnt Activation and Reduced Cell-Cell Contact Synergistically Induce Massive Expansion of Functional Human iPSC-Derived Cardiomyocytes. Cell Stem Cell 27, 50-63.e5 (2020).	2020.0	Top 100	SCVI-111, SCVI-113, SCVI-273, SCVI-202	4	100	CHIR99021	0-2	Wnt-C59	3-5	7			Flow cytometry for cTnT+	85				Yes						Micropatterned PAA	Fibrin + matrigel	CM
Burnett, S. D. et al. Population-based toxicity screening in human induced pluripotent stem cell-derived cardiomyocytes. Toxicol Appl Pharmacol 381, (2019).	2019.0	Selected	iCell, CDI (42)	43																				ECM-coated plastic/glass		
Cao, Y. et al. Nondestructive nanostraw intracellular sampling for longitudinal cell monitoring. Proc Natl Acad Sci U S A 114, E1866ÂE1874 (2017).	2017.0	Top 100	Not listed	1																		Yes		Nanotopography		
Carson, D. et al. Nanotopography-Induced Structural Anisotropy and Sarcomere Development in Human Cardiomyocytes Derived from Induced Pluripotent Stem Cells. ACS Applied Materials and Interfaces 8, 21923Â21932 (2016).	2016.0	Top 100	IMR-90	1	100	Activin A, BMP4, CHIR 99021	0-5	XAV939	5-7	7			Flow cytometry for cTnT+	80							Yes			Nanotopography		
Cashman, T. J., Josowitz, R., Johnson, B. V., Gelb, B. D. & Costa, K. D. Human engineered cardiac tissues created using induced pluripotent stem cells reveal functional characteristics of BRAF-mediated hypertrophic cardiomyopathy. PLoS One 11, (2016).	2016.0	Top 100	in-house	1	EB	Activin A, BMP4	0-1 (BMP4), 2-4 (both)	IWR1	4-8		Cell sorting							Yes	Yes						Collagen + matrigel	CM + SC
Chelko, S. P. et al. Therapeutic Modulation of the Immune Response in Arrhythmogenic Cardiomyopathy. Circulation 140, 1491Â1505 (2019).	2019.0	Top 100	in-house	2	80	CHIR99021	0-2	IWR1	3-5	9, not 15-19	No glucose with lactate	15-19												ECM-coated plastic/glass		
Chen, P. et al. Bioacoustic-enabled patterning of human iPSC-derived cardiomyocytes into 3D cardiac tissue. Biomaterials 131, 47Â57 (2017).	2017.0	Top 100	in-house	1	85	CHIR99021	0-2	Wnt-C59	2-4		No glucose with lactate	8-12	IHC a-actinin	98							Yes				Scaffold free	CM
Chen, T. & Vunjak-Novakovic, G. Human Tissue-Engineered Model of Myocardial Ischemia-Reperfusion Injury. Tissue Eng Part A 25, 711Â724 (2019).	2019.0	Selected	WTC11	1	92.5	CHIR99021	0-2	Wnt-C59	2-4	12								Yes							Collagen + fibrin	CM
Chen, V. C. et al. Development of a scalable suspension culture for cardiac differentiation from human pluripotent stem cells. Stem Cell Res 15, 365Â375 (2015).	2015.0	Selected	in-house	1	EB	CHIR99021	0-1	IWP4	2-4	4			Flow cytometry for cTnT+	96										ECM-coated plastic/glass		
Chen, Y., Chan, J. P. Y., Wu, J., Li, R. K. & Santerre, J. P. Compatibility and function of human induced pluripotent stem cell derived cardiomyocytes on an electrospun nanofibrous scaffold, generated from an ionomeric polyurethane composite. J Biomed Mater Res A 110, 1932Â1943 (2022).	2022.0	Randomized	iCell2	1																	Yes			Electrospun fibers		
Cheng, J. et al. An East Asian Common Variant Vinculin P.Asp841His Was Associated With Sudden Unexplained Nocturnal Death Syndrome in the Chinese Han Population. J Am Heart Assoc 6, (2017).	2017.0	Randomized	iCell	1																				ECM-coated plastic/glass		
Chopra, A. et al. Force Generation via ?-Cardiac Myosin, Titin, and ?-Actinin Drives Cardiac Sarcomere Assembly from Cell-Matrix Adhesions. Dev Cell 44, 87-96.e5 (2018).	2018.0	Top 100	PGP1	1		CHIR99021	0-1	IWP4	3-5	7	No glucose and lactate	9-11	Flow cytometry for cTnT+	90										Micropatterned PDMS, Micropatterned PAA	Collagen + fibrin	CM + SC
Chun, Y. W. et al. Combinatorial polymer matrices enhance in vitro maturation of human induced pluripotent stem cell-derived cardiomyocytes. Biomaterials 67, 52Â64 (2015).	2015.0	Top 100	CC2	1		Activin A, BMP4, bFGF	0-5			5			Flow cytometry for cTnT+	95							Yes			Electrospun fibers		
Correia, C. et al. 3D aggregate culture improves metabolic maturation of human pluripotent stem cell derived cardiomyocytes. Biotechnol Bioeng 115, 630Â644 (2018).	2018.0	Top 100	DF19-9-11T.H, UKKi006-A	2	85	CHIR99021	0-1	IWR1	1-3	7			Flow cytometry for cTnT+	80										ECM-coated plastic/glass	Scaffold free	CM
Cortes, D. et al. BEaTS-? an open access 3D printed device for in vitro electromechanical stimulation of human induced pluripotent stem cells. Sci Rep 10, (2020).	2020.0	Randomized	in-house	1	85	CHIR99021	0-2	Wnt-C59	2-4		No glucose	10-14					Yes			Yes				ECM-coated plastic/glass		
Crombie, D. E. et al. FriedreichÂs ataxia induced pluripotent stem cell-derived cardio-myocytes display electrophysiological abnormalities and calcium handling deficiency. Aging 9 1440-1449 (2017).	2017.0	Randomized	in-house	1		CHIR99021	0-2	KY02111, XAV939	3-8				IHC: cTnT, cTnI, NKX2-5											ECM-coated plastic/glass		
Cui, H. et al. 4D physiologically adaptable cardiac patch: A 4-month in vivo study for the treatment of myocardial infarction. Sci Adv 26,  (2020).	2020.0	Selected	in-house	1	85	CHIR99021	0-1	IWP2	2-5	7									Yes	Flow 	Yes				PEG + ECM	CM + EC + SC
Cui, N. et al. Doxorubicin-induced cardiotoxicity is maturation dependent due to the shift from topoisomerase II? to II? in human stem cell derived cardiomyocytes. J Cell Mol Med 23, 4627Â4639 (2019).	2019.0	Randomized	Cellapy	1	85	CHIR99021	0-2	Wnt-C59	2-4		No glucose	10-15	Flow cytometry for cTnT+	95										ECM-coated plastic/glass		
