Reference	Year	Publication Category	hiPSC Line (Healthy Control)	Number of Healthy Control hiPSC-CM Lines	Confluency at Start of Differentiation (%)	WNT Activator	Time of Wnt Activator (Start Day - End Day)	WNT Inhibitor	Time of Wnt Inibitor (Start Day - End Day)	Day Insulin is Added (Until End Unless Noted)	Purification Protocol	Time of hiPSC-CM Purification (Start Day - End Day)	Method to Assess Differentiation Purity	Differentiation Purity (%)	Maturation Technique: Metabolic?	Metabolic components	Maturation Technique: Electrical Stimulation?	Maturation Technique: Passive Tension?	Maturation Technique: Other Cell Types?	Maturation Technique: Mechanical Stimulation?	Maturation Technique: Cell Alignment?	Maturation Technique: Elastomeric Surface?	Maturation Technique: Cell Derived ECM?	2D: Surface	3D: Platform Type	3D: Cell Types	3D: Type of Stromal Cell	3D: Types of Endothelial Cell 	3D: Cell Composition (CM-EC-SC)	3D: Estimated Tissue Cell Density (10^6 cells/mL)	3D:Estimated Tissue size (mm2)	Immunofluorescent Imaging?	SEM or TEM	Sarcomere/Cellular Alignment Analysis?	Sarcomere Length (um)	Cell Area (um2)	T-tubules Present?	Contractile Analyses Method	Force (mN)	Stress (mN/mm2)	Upstroke Velocity (um/s)	Calcium Handling Analyses Method	Amplitude (F/F0)	Beat Rate (BPM)	Time to Peak (ms)	Time to Relaxation (ms)	Conduction Velocity (cm/s)	Electrical Physiology Analyses Method	AP Conduction Velocity (cm/s)	AP Amplitude (mV)	Resting Membrane Potential (mV)	Max Capture Rate (Hz)	Metabolic Analyses Method	Gene Analyses Method	Pharmacological Interventions
Hu, D. et al. Metabolic maturation of human pluripotent stem cellderived cardiomyocytes by inhibition of HIF1? and LDHA. Circ Res 123, 1066Â1079 (2018).	2018.0	Top 100	BJ RiPS-D	1	95	CHIR99021	0-1	IWP4	3-5	7	No glucose with lactate	10-16	Flow cytometry for cTnT+	90	Yes	Palmitic acid, oleic acid, HIF1? inhibitior chetomin, a selective and potent LDHA inhibitor GSK 2837808A								ECM-coated plastic/glass								Yes	TEM		2.1			Motion tracking analysis	0.0003		200	Dye	8.0					Patch clamp		114	-74.0		Seahorse	PCR	
Huang, C. Y. et al. Enhancement of human iPSC-derived cardiomyocyte maturation by chemical conditioning in a 3D environment. J Mol Cell Cardiol 138, 1Â11 (2020).	2020.0	Randomized	in-house	1	85	CHIR99021	0-2	IWR1	3-5	9			Flow cytometry for cTnT+	92	Yes	Thyroid hormone T3, dexamethasone, IGF-1		Yes	Yes					ECM-coated plastic/glass	Collagen + fibrin	CM + EC + SC	hCF	HUVEC	75, 10, 15	0.019	0.062	Yes	TEM		1.9		Yes	Post deflection		2.7	60 mN/mm2/s	Dye	0.6					Optical mapping	20.0			4.0		PCR	isoproterenol
Huebsch, N. et al. Metabolically driven maturation of human-induced-pluripotent-stem-cell-derived cardiac microtissues on microfluidic chips. Nat Biomed Eng 6, 372Â388 (2022).	2022.0	Randomized	WTC11, SCVI-20, SCVI-273, G15.AO	4	90	CHIR99021	0-1	IWP2	2-4	6	No glucose with lactate	16-18	Flow cytometry for cTnT+	98	Yes	Oleic acid, palmitic acidÂ 		Yes	Yes			Yes			Scaffold free	CM + SC	hiPSC-SC		80, 0, 20	6.6	0.05	Yes						Post deflection		3.0		Genetically encoded sensor	0.03	60.0				Optical mapping					Seahorse	PCR	verapamil, flecainide, alfuzosin, isoproterenol
Knight, W. E. et al. Maturation of Pluripotent Stem Cell-Derived Cardiomyocytes Enables Modeling of Human Hypertrophic Cardiomyopathy. Stem Cell Reports 16, 519Â533 (2021).	2021.0	Selected	CUSO-1, CUSO-2	2		CHIR99021	0-1	IWP2	3-5	7, not 20-25	No glucose with lactate	20-25			Yes	Palmitic acid, oleic acid, galactose					Yes			Micropatterned plastic/glass								Yes	TEM	Yes	1.75	2000		Force transducer		50.0													Metabolomics	RNA-seq	phenylephrine
Lin, B. et al. Culture in glucose-depleted medium supplemented with fatty acid and 3,3Â,5-Triiodo-L-thyronine facilitates purification and maturation of human pluripotent stem cell-derived cardiomyocytes. Front Endocrinol (Lausanne) 8, (2017).	2017.0	Selected	BJ1, NCRM-1	2	85	CHIR99021	0-1	IWP2	3-5		No glucose with lactate	13-21	Flow cytometry for cTnT+	95	Yes	1Ã Linoleic Acid-Oleic Acid-Albumin, T3, lactate								ECM-coated plastic/glass								Yes		Yes	1.7							Dye	3.0					Patch clamp		97	-85.0			PCR	isoproterenol
Lin, B. et al. Culture in glucose-depleted medium supplemented with fatty acid and 3,3Â,5-Triiodo-L-thyronine facilitates purification and maturation of human pluripotent stem cell-derived cardiomyocytes. Front Endocrinol (Lausanne) 8, (2017).	2017.0	Selected	NCRM-1, BJ1	2		CHIR99021	0-1	IWP2	4-6		No glucose with lactate, fatty acid + T3	12-21	Flow cytometry for cTnT+	95	Yes	1Ã Linoleic Acid-Oleic Acid-Albumin, T3, lactate								ECM-coated plastic/glass								Yes		Yes	1.6							Dye	3.2					Patch clamp		95	-85.0			PCR	isoproterenol, caffeine
Mills, R. J. et al. Functional screening in human cardiac organoids reveals a metabolic mechanism for cardiomyocyte cell cycle arrest. Proc Natl Acad Sci U S A 114, E8372ÂE8381 (2017).	2017.0	Selected	ATCC-BXS0116	1		Activin A, BMP4, CHIR99021, bFGF	0-3	IWP4	3-6	6			Flow cytometry for cTnT+, a-actinin	70	Yes	Palmitic acid, TGF?-1		Yes	Yes (not pure)						Collagen + matrigel	CM + SC	hiPSC-SC		70, 0, 30	14.0	0.8	Yes	TEM		2.3		Yes	Post deflection	0.37			Dye	2.5		200	500		Patch clamp		102	-59.0		Metabolomics, Seahorse	RNA-seq, PCR	
Parikh, S. S. et al. Thyroid and Glucocorticoid Hormones Promote Functional T-Tubule Development in Human-Induced Pluripotent Stem Cell-Derived Cardiomyocytes. Circ Res 121, 1323Â1330 (2017).	2017.0	Top 100	in-house	2	75	CHIR99021	0-2	IWR1	3-5	16	No glucose	10-16			Yes	T3 (triiodothyronine), Dex (dexamethasone)						Yes		Thick matrigel								Yes				2000	Yes	Motion track analysis			time to peak=0.71s	Dye	0.88		490										caffeine (for calcium content & SR)
Peters, M. C. et al. Follistatin-like 1 promotes proliferation of matured human hypoxic iPSC-cardiomyocytes and is secreted by cardiac fibroblasts. Mol Ther Methods Clin Dev 25, 3Â16 (2022).	2022.0	Selected	SCVI-273, UKKi032-C	2	95	CHIR99021	0-3	Wnt-C59	3-7	7	No glucose	9-16	Flow cytometry for ACTN1+		Yes	L-lactate, Vitamin B12, Biotin, Creatine monohydrate, Taurine, L-carnitine, Ascorbic acid, 1x NEAA, Albumax, 1x B27, 1% KOSR			Yes					Micropatterned plastic/glass								Yes																						RNA-seq, PCR	
Peters, M. C. et al. Metabolic Maturation Increases Susceptibility to Hypoxia-induced Damage in Human iPSC-derived Cardiomyocytes. Stem Cells Transl Med 11, 1040Â1051 (2022).	2022.0	Selected	SCVI-273, UKKi032-C	2	85	CHIR99021	0-3	Wnt-C59	3-7	7	No glucose	9-16	Flow cytometry for cTnT+; Flow cytometry for ACTN1+	94	Yes	L-lactate, Vitamin B12, Biotin, Creatine monohydrate, Taurine, L-carnitine, Ascorbic acid, 1x NEAA, Albumax, 1x B27, 1% KOSR								ECM-coated plastic/glass								Yes						Motion tracking analysis															Seahorse		
Schwan, J. et al. Anisotropic engineered heart tissue made from laser-cut decellularized myocardium. Sci Rep 6, (2016).	2016.0	Top 100	in-house	1	90	CHIR99021	0-1	IWP4	3-5						Yes	IGF-1, dexamethasone, T3		Yes			Yes		Yes		Decellularized tissue	CM			100, 0, 0	10.0	2.5	Yes						Force transducer 	0.3	2.2		Dye			181										isoproterenol
SebastiÃ£o, M. J. et al. Bioreactor-based 3D human myocardial ischemia/reperfusion in vitro model: a novel tool to unveil key paracrine factors upon acute myocardial infarction. Translational Research 215, 57Â74 (2020).	2020.0	Selected	DF19-9-11T.H	1	85	CHIR99021, Activin A	0-1	IWR1	1-7	7			Flow cytometry for cTnT+	90	Yes	T3									Scaffold free	CM			100, 0, 0	0.13	0.03	Yes	TEM																						
Tsan, Y. C. et al. Physiologic biomechanics enhance reproducible contractile development in a stem cell derived cardiac muscle platform. Nat Commun 12, (2021).	2021.0	Selected	MR18, MR30, MR48, WTC11, DF19-9-11T.H	5		CHIR99021	0-1	IWP4	3-10	6, not 12-16	No glucose with lactate	12-16	IHC a-actinin	95	Yes	T3, dexamethasone, Torin1					Yes	Yes		Micropatterned PDMS								Yes		Yes	2.1			Motion tracking analysis			1.2	Dye	1.8	33.0				Patch clamp		121	-81.0			RNA-seq	isoproterenol, verapamil, mavacamten
Yang, X. et al. Fatty Acids Enhance the Maturation of Cardiomyocytes Derived from Human Pluripotent Stem Cells. Stem Cell Reports 13, 657Â668 (2019).	2019.0	Top 100	IMR-90, WTC11	2		Activin A, BMP4, CHIR99021	0-3	XAV939	3-5	7			Flow cytometry for cTnT+	80	Yes	"Oleic acid-albumin and linoleic
acid-albumin, Palmitate"						Yes		ECM-coated plastic/glass; micropost array								Yes		Yes	1.8	2000		Post deflection	0.013			Dye	0.25					Patch clamp		91	-59.0		Seahorse	RNA-seq, PCR	
Abecasis, B. et al. Unveiling the molecular crosstalk in a human induced pluripotent stem cell-derived cardiac model. Biotechnol Bioeng 116, 1245Â1252 (2019).	2019.0	Randomized	DF19-9-11T.H	1	90	CHIR99021	0-1	IWR1	3-6	7			Flow cytometry for cTnT+	97					Yes					ECM-coated plastic/glass								Yes		Yes	1.8							Dye	0.8		270										
Abilez, O. J. et al. Passive Stretch Induces Structural and Functional Maturation of Engineered Heart Muscle as Predicted by Computational Modeling. Stem Cells 36, 265Â277 (2018).	2017.0	Top 100	IMR-90	1	80	CHIR99021	0-2	IWR1	3-5	7			Flow cytometry for cTnT+	88				Yes	Yes						Collagen + matrigel	CM + SC	hLF		75, 0, 25	16.0	14	Yes						Force transducer 	0.5			Dye	0.9	50.0	500									PCR	
Abulaiti, M. et al. Establishment of a heart-on-a-chip microdevice based on human iPS cells for the evaluation of human heart tissue function. Sci Rep 10, (2020).	2020.0	Selected	253G1, FF101-s04	2	100	Activin A, BMP4, CHIR99021, bFGF	0-5	XAV939, IWP4	5-7				Flow cytometry for cTnT+	37					Yes (not pure)	Flow					Scaffold free	CM + EC + SC	vascular mural cell	vascular endothelial cell	37, 15, 20			Yes						Motion tracking analysis				Genetically encoded sensor 		101.0											isoproterenol
Acun, A., Nguyen, T. D. & Zorlutuna, P. In vitro aged, hiPSC-origin engineered heart tissue models with age-dependent functional deterioration to study myocardial infarction. Acta Biomater 94, 372Â391 (2019).	2019.0	Randomized	HVRDi007-A, Huv-iPS4F1	2		CHIR99021	0-1	IWP4	3-5	8			Flow cytometry for cTnT+	93										ECM-coated plastic/glass	GelMA, PEG, PEG/GelMA	CM						Yes			1.8	3116		Nanoindenter	0.471		18	Dye												PCR	isoproterenol
Afzal, J. et al. Cardiac ultrastructure inspired matrix induces advanced metabolic and functional maturation of differentiated human cardiomyocytes. Cell Rep 40, (2022).	2022.0	Selected	WTC11, HF-YK27, PBY4-48D	3	82.5	CHIR99021	0-2	IWR	4-5	10	No glucose with lactate	10-12	Flow cytometry for cTnT+	95							Yes	Yes		Nanotopography								Yes	TEM					TFM				Genetically encoded sensor	1.1	25.0				Patch clamp		170	-65.0		Seahorse	RNA-seq, PCR	lidocaine, dofetilide, nifedipine, caffiene
Ahrens, J. H. et al. Programming Cellular Alignment in Engineered Cardiac Tissue via Bioprinting Anisotropic Organ Building Blocks. Advanced Materials 34, (2022).	2022.0	Selected	BJFF	1	EB	CHIR99021	0-2	IWR1	3-5	7	No glucose with lactate	9-11	Flow cytometry for cTnT+	73				Yes	Yes						Collagen + fibrin + gelatin	CM + SC	hDF		90, 0, 10	150.0	20	Yes		Yes				Post deflection	0.3	0.07		Dye					4.3							Nanostring	isoproterenol
Almeida, H. V. et al. Human Extracellular-Matrix Functionalization of 3D hiPSC-Based Cardiac Tissues Improves Cardiomyocyte Maturation. ACS Appl Bio Mater 4, 1888Â1899 (2021).	2021.0	Selected	DF19-9-11T.H	1	85	CHIR99021, Activin A	0-1	IWR1	1-6	8			Flow cytometry for SIRPA+; Flow cytometry for cTnT+; Flow cytometry for VCAM-1+	80									Yes	ECM-coated plastic/glass	Scaffold free	CM			100, 0, 0		0.02	Yes	SEM, TEM	Yes	1.75			Motion tracking analysis				Dye	2.0	48.0	400									PCR	norepinephine
Alvarez-Paino, M. et al. Polymer Microparticles with Defined Surface Chemistry and Topography Mediate the Formation of Stem Cell Aggregates and Cardiomyocyte Function. ACS Appl Mater Interfaces 11, 34560Â34574 (2019).	2019.0	Randomized	REB	1		Activin A, BMP4	0-2	KY02111, XAV939	2-6	6														CM-aggregates seeded on PLA-based microparticles		CM			100, 0, 0		2							Motion tracking analysis																	
Amano, Y. et al. Development of vascularized iPSC derived 3D-cardiomyocyte tissues by filtration Layer-by-Layer technique and their application for pharmaceutical assays. Acta Biomater 33, 110Â121 (2016).	2016.0	Top 100	253G1	1	EB	Activin A, BMP4, bFGF	0-4	IWR1	4-6				Flow cytometry for cTnT+	53					Yes						Gelatin 	CM + EC + SC	hCF	CMVEC	65, 10, 25	5.0		Yes						Motion tracking analysis			70														doxorubicin
Aoyama, J. et al. Spatiotemporal imaging documented the maturation of the cardiomyocytes from human induced pluripotent stem cells. Journal of Thoracic and Cardiovascular Surgery 159, 2260-2271.e7 (2020).	2020.0	Randomized	454E2	1	EB	Activin A, BMP4, bFGF	0-3	IWR1	3-5															ECM-coated plastic/glass								Yes						Motion tracking analysis				Dye												PCR	
Arai, K. et al. Fabrication of scaffold-free tubular cardiac constructs using a Bio-3D printer. PLoS One 13, (2018).	2018.0	Top 100	iCell	1															Yes						Scaffold free, 3D bioprinted to assemble cardiac spheroids	CM + EC + SC	hDF	HUVEC	50, 25, 25	0.3	10	Yes						Motion tracking analysis																	
Archer, C. R. et al. Characterization and validation of a human 3D cardiac microtissue for the assessment of changes in cardiac pathology. Sci Rep 8, (2018).	2018.0	Top 100	iCell	1							Blasticidin	30-32	Flow cytometry for cTnT+	98										ECM-coated plastic/glass	Scaffold free	CM + EC + SC	hCF	CMVEC	57, 14, 29	0.0125	0.035	Yes																							sunitinib, doxorubicin
Beauchamp, P. et al. 3D Co-culture of hiPSC-Derived Cardiomyocytes With Cardiac Fibroblasts Improves Tissue-Like Features of Cardiac Spheroids. Front Mol Biosci 7, (2020).	2020.0	Top 100 	iCell2, Cor.4U	2															Yes						Scaffold free	CM + SC	heCF		80, 0, 20	0.0125	0.0078	Yes	TEM					Motion tracking analysis										Patch clamp		66	-41.0			PCR	
Beauchamp, P. et al. Development and Characterization of a Scaffold-Free 3D Spheroid Model of Induced Pluripotent Stem Cell-Derived Human Cardiomyocytes. Tissue Eng Part C Methods 21, 852Â861 (2015).	2015.0	Top 100	iCell	1																					Scaffold free	CM			100, 0, 0	0.062	40	Yes						Motion tracking analysis				Dye		20.0											phenylephrine, isoproterenol, blebbistatin, doxorubicin
Bekhite, M. M. et al. Longitudinal metabolic profiling of cardiomyocytes derived from human-induced pluripotent stem cells. Basic Res Cardiol 115, (2020).	2020.0	Randomized	in-house	1		Activin A, BMP4, CHIR99021		BMP4, IWP-2			No glucose with lactate	21-26	Flow cytometry for a-actinin+	80										ECM-coated plastic/glass								Yes	TEM									Dye											Seahorse	PCR	propranolol, epinephrine, atenolol, dobutamine
Bhagwan, J. R. et al. Variable expression and silencing of CRISPR-Cas9 targeted transgenes identifies the AAVS1 locus as not an entirely safe harbour. F1000Res 8, 1911 (2019).	2019.0	Randomized	Not listed	1		Activin A, BMP4	0-2	KY02111, XAV939	2-4	4			IHC a-actinin	90										ECM-coated plastic/glass								Yes										Genetically encoded sensor												PCR	dantrolene, ranolazine
Blazeski, A. et al. Functional Properties of Engineered Heart Slices Incorporating Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes. Stem Cell Reports 12, 982Â995 (2019).	2019.0	Randomized	in-house	1	80	CHIR99021	0-2	IWR1	3-5	9			Flow cytometry for cTnT+	83									Yes		Decellularized tissue	CM			100, 0, 0		95	Yes		Yes				Motion tracking analysis										Optical mapping	19.0					PCR	isoproterenol, BaCl2, E4031, chromanol 293B, nifedipine, bay-k 8644, cromakalim
Bliley, J. M. et al. Dynamic loading of human engineered heart tissue enhances contractile function and drives a desmosome-linked disease phenotype. Sci. Transl. Med 13, 1817 (2021).	2021.0	Selected	in-house	1		CHIR99021, Activin A	0-2	Wnt-C59	2-4		No glucose with lactate	17-21						Yes	Yes	Yes					Collagen + matrigel	CM + SC	hCF		90, 0, 10	18.75	12	Yes	TEM	Yes	2.0			Post deflection; Force transducer		0.6	150	Dye					9.0	Patch clamp			-60.0			PCR	
Blinova, K. et al. Comprehensive translational assessment of human- induced pluripotent stem cell derived cardiomyocytes for evaluating drug-induced arrhythmias. Toxicological Sciences 155, 234Â247 (2017).	2017.0	Top 100	iCell, Cor.4U	2																				MEA																														PCR	dofetilide, quinidine, moxifloxacin, ranolazine, verapamil, quinine, propafenone, chloroquine, terfenadine, cisapride, amiodarone, azithromycin, ritonavir, amitriptyline, nilotinib, toremifene, lidocaine, mexiletine, mibefradil, diltiazem, licarbazepine, cibenzoline, sertindole
Blinova, K. et al. International Multisite Study of Human-Induced Pluripotent Stem Cell-Derived Cardiomyocytes for Drug Proarrhythmic Potential Assessment. Cell Rep 24, 3582Â3592 (2018).	2018.0	Top 100	iCell, Cor.4U	3																				ECM-coated plastic/glass																								MEA							verapamil, diltiazem, loratadine, metoprolol, mexiletine, nifedipine, nitrendipine, ranolazine, tamoxifen, terfenadine, astemizole, chlorpromazine, cisapride, clarithromycin, clozapine, domperidone, droperidol, ondansetron, pimozide, risperidone, dofetilide, azimilide, bepridil, DL-sotalol, disopyramide, ibutilide, quinidine, vandetanib
